"","TCGA.E9.A1N6.01A.11R.A144.07","TCGA.A2.A259.01A.11R.A16F.07","TCGA.AC.A3EH.01A.22R.A22K.07","TCGA.EW.A424.01A.11R.A24H.07","TCGA.AR.A1AU.01A.11R.A12P.07","TCGA.B6.A409.01A.11R.A24H.07","TCGA.A2.A0YD.01A.11R.A109.07","TCGA.C8.A1HI.01A.11R.A137.07","TCGA.B6.A0I5.01A.11R.A034.07","TCGA.EW.A1IX.01A.12R.A144.07","TCGA.BH.A0DL.11A.13R.A115.07","TCGA.BH.A0DO.11A.22R.A12D.07","TCGA.E2.A153.11A.31R.A12D.07","TCGA.BH.A203.11A.42R.A169.07","TCGA.BH.A0C3.11A.23R.A12P.07","TCGA.AC.A2FB.11A.13R.A17B.07","TCGA.E2.A1L7.11A.33R.A144.07","TCGA.E9.A1RD.11A.33R.A157.07","TCGA.BH.A0DK.11A.13R.A089.07","TCGA.BH.A0BS.11A.11R.A12P.07"
"ENSG00000000003",836.10962077935,2572.55882706489,3629.77274237304,3139.97560887891,1672.32316325986,9442.05334186714,1621.85460612542,2975.46108127286,6571.55857813164,1464.73375338123,3913.56338304265,5255.39516560809,3859.63913954265,4418.81034653888,3984.70760198405,4805.06867158473,4294.87099932652,4388.95132493597,4106.8701089522,6139.83334553142
"ENSG00000000005",5.47371273832635,10.9346507242769,1.1705168469439,13.2974686993743,102.276107577376,71.9334968078649,114.685709898624,5.7316852035114,5.43853123707446,14.5434557073313,821.824558284092,694.992822792154,49.8017953489374,736.152987067933,103.51335390629,1087.90626022079,72.4485248163894,1529.81645996375,67.4558375383453,523.067101902587
"ENSG00000000419",2200.43252080719,1453.57956961388,2006.26587566185,2261.45617680692,1630.97750274985,12135.9106715994,2013.77270136954,2056.95852741015,2037.63637015723,1486.54893694222,1398.2101829766,1464.17027273628,1846.8165775231,1705.07414228331,1483.69140599015,1724.16115705502,1643.86723210146,1620.28509451675,1909.39700137951,2059.17453121581
"ENSG00000000457",1163.16395689435,1070.86679426419,2916.9279825842,1562.89582113312,1612.48075989012,1252.05985023545,2606.16502966479,2468.92340141254,2131.90424493319,1616.4012200434,1236.69552990342,1596.9217107977,1928.43618656719,1412.69461400054,1757.50092277453,1162.28535379437,1241.82893945839,1047.3170756811,1763.37495306121,1820.16320169969
"ENSG00000000460",666.424525891233,470.91895785886,1089.75118450477,585.088622772468,535.317499234775,1094.64016881534,966.249681823051,494.357848802858,342.627467935691,330.344208209383,308.778013228127,329.926368123242,380.430381137716,346.313616024246,376.209823874472,263.463295308823,353.059008260151,262.440543478065,377.752690214733,421.027649686089
"ENSG00000000938",558.318699309287,610.882487129604,241.126470470444,336.869207050815,345.997895846867,321.094449519165,597.810550810149,338.169427007173,627.243936009255,546.418407289735,783.029372006712,381.66038442659,1554.92272145016,454.181791507208,314.992248983655,783.220816666366,803.056183528148,1209.50859168152,358.70633608626,406.319260177405
"ENSG00000000971",4238.02208764917,4884.14399017703,1682.03270905839,1538.96037747425,1901.90038346014,1228.08201796616,5436.28325661193,3489.16336763757,1747.58137084659,3902.84022088885,6554.80300388632,3921.04799038776,4653.70109871737,3962.73613090039,4078.20353454457,17680.7170627316,5115.27401274028,31980.2547981128,3253.7521636143,1822.00175038827
"ENSG00000001036",3433.3863151152,2602.44687237791,2051.91603269266,2828.81484131355,2239.19392972595,5159.40399568295,1773.5648365425,3745.6562804947,5046.9569880051,1120.88490772932,1769.53553734581,1531.52210528215,1571.5233198998,1459.05900521691,1590.54390034503,2886.44651084939,1725.49937273964,2556.75771705183,1905.42901093608,1449.6956409497
"ENSG00000001084",1752.95650444901,4344.7012211127,1236.06579037276,2361.63044100887,1268.65895143851,2242.4485744017,1391.58014924236,3032.06147265753,1214.6053096133,2032.96734423196,2112.35830587857,2244.08497134714,4121.09856512457,3282.40965570522,2016.84083094835,2292.30989591827,2109.17043373911,3882.81599108541,2376.82627561581,2110.6538944962
"ENSG00000001167",4369.39119336901,2902.78527893805,5113.9881042979,2941.40007630159,2022.67323389725,3337.08874321704,2519.47346942646,2479.67031116912,2840.72614949856,2715.47094421172,2063.27051916025,2126.95134952824,2530.20788036685,2307.811228096,2528.84236639882,1796.74798331357,2191.82297613527,1679.78248480836,2676.80635313928,2210.85479802412
"ENSG00000001460",552.844986570961,339.703149167537,476.400356706168,407.789040114144,823.649079107165,685.974505790944,651.08973887329,682.786999868296,1087.70624741489,929.742347004396,587.469963628898,767.225222913811,670.940854006518,676.541626932612,824.767690801727,935.563538443577,734.689265743668,781.616401228151,749.156595719976,835.620378962129
"ENSG00000001461",663.68766952207,3804.52947533342,857.988848809879,1157.76627475885,3045.43430967101,1420.94719056695,1670.61860875948,3037.0766972106,2320.4399944851,4136.57433047096,4200.17271839798,5199.75669524411,3678.41593980068,5612.92997337658,5984.85273068945,4439.44613931942,2874.4717522221,2654.56164629832,3760.06774419623,4161.55495661338
"ENSG00000001497",4028.65257540819,2652.74626570958,4315.69561468216,4250.75749423331,3255.42674331392,5637.91812662222,2325.32049597603,5121.97718998788,4843.91848848765,2919.07932411436,2740.99867127122,2659.90932880424,3138.89649018719,2062.74230309524,3163.27905163091,2714.38884860689,2904.06340320344,2378.265546177,2982.34161728355,3280.8901347809
"ENSG00000001561",338.001761591652,763.967597269481,1728.85338293614,1437.01311744571,848.674084152693,1136.34074667497,2156.45256092845,2178.04037733433,710.634748311063,1569.65439812698,1925.50802095078,1580.32778104003,1235.36120129448,3025.03997385113,1088.55978624034,1967.90951189856,1324.48148185456,3102.8296553447,1395.9390379994,1548.05799578903
"ENSG00000001617",7470.24945963088,5197.6039776063,21713.0875108094,9282.51965007653,11687.7653999593,1806.67753576855,8692.6349880642,4816.76495290089,9129.48110330233,6389.77114684251,3301.54952605459,2217.72990643789,4318.92236331618,2512.19303427424,3158.82686436613,2760.98779879757,6044.86001425762,2621.14530380577,4633.81923983998,3190.80124904021
"ENSG00000001626",17.7895663995606,67.0658577755652,32.7744717144292,12.4109707860826,114.244588251324,179.312484796417,5.41822251489562,15.0456736592174,7.25137498276595,9.34936438328443,98.1755734366353,66.3757190307114,117.587572351658,88.9439341701615,65.6697621556031,79.7558955186574,129.591023263119,43.1967354171971,40.4735025230072,71.7033988548362
"ENSG00000001629",3984.86287350158,4035.61509397314,4449.13453523377,3340.32413728282,5995.12077395043,2815.83151997164,4774.35707270885,4225.68491628878,4024.5131154351,5259.5368747299,4411.56689668493,3923.00021741807,4158.44991163627,5058.44970291153,4276.32586782758,3689.38226798104,3345.89736440762,4945.6186888972,4671.11835000824,3047.39445133054
"ENSG00000001630",99.8952574744558,236.188455644382,374.565391022048,87.7632934158702,265.482662222124,33.3604622877055,171.577046305028,40.8382570750187,12.6899062198404,158.939194515835,60.1721256547119,111.276940727957,296.04400568535,38.7946946912407,86.8176516633397,56.4564204233193,126.529817989187,30.9712442613866,265.061761621263,86.4117883635205
"ENSG00000001631",287.369918762133,282.842965401297,387.441076338431,573.564149899677,353.614201730289,478.514130939275,320.578165464657,416.980098555455,551.104498690212,310.606661178005,421.204879582984,399.230427699426,398.414362791499,484.460577607688,430.749117868108,385.337472730592,385.711864515425,389.585651498494,357.912737997573,394.368693701599
"ENSG00000002016",691.056233213701,318.562824433935,561.848086533072,911.319854863783,565.782722768462,277.308842766552,505.700768056924,351.782179365512,558.355873672978,580.699410028444,796.488926429476,533.934092791164,853.547436952622,769.270409365333,714.576055998257,539.472461822829,642.853107525709,523.251021468689,646.782442279428,764.836254451586
